Noms,Types,Gratuit/Payant
[Thingiverse](https://www.thingiverse.com/),Dépôt,Gratuit
[Printables](https://www.printables.com/fr),Dépôt,Gratuit
[MakerWorld](https://www.makerworld.com/),Dépôt,Gratuit
[NIH 3D Print Exchange](https://3dprint.nih.gov/),Dépôt,Gratuit
[GrabCAD Library](https://grabcad.com/library),Dépôt,Gratuit
[Zortrax Library](https://library.zortrax.com/),Dépôt,Gratuit
[Repables](https://repables.com/),Dépôt,Gratuit
[Libre3D](https://libre3d.com/),Dépôt,Gratuit
[YouMagine](https://www.youmagine.com/),Dépôt,Payant
[NASA](https://nasa3d.arc.nasa.gov/models/printable),Dépôt,Gratuit
[Instructables](https://www.instructables.com/workshop/3d-printing/projects/),Dépôt,Gratuit
Polar Cloud,Dépôt,Gratuit
Yeggi,moteur de recherche,Gratuit/Payant
STLFinder,moteur de recherche,Gratuit/Payant
3DFindIt,moteur de recherche,Gratuit/Payant
[CGTrader](https://www.cgtrader.com/),Marché de modèles,Gratuit/Payant
[Cults3D](https://cults3d.com/fr),Marché de modèles,Gratuit/Payant
[My Mini Factory](https://www.myminifactory.com/fr/),Marché de modèles,Gratuit/Payant
[Pinshape](https://pinshape.com/),Marché de modèles,Gratuit/Payant
[TurboSquid](https://www.turbosquid.com/Search/3D-Models/free/stl),Dépôt,Gratuit/Payant
3DExport,Marché de modèles,Gratuit/Payant
Free3D,Dépôt,Gratuit/Payant
Threeding,Marché de modèles,Gratuit/Payant
Redpah,Marché de modèles,Gratuit/Payant
3DShook,Abonnement,Gratuit/Payant
XYZprinting 3D Gallery,Marché de modèles,Gratuit/Payant
3Dagogo,Marché de modèles,Gratuit/Payant
Fab365,Marché de modèles,Gratuit/Payant
3DKitBash,Marché de modèles,Gratuit/Payant
Shapetizer,Marché de modèles,Gratuit/Payant
[NIH 3D](https://3dprint.nih.gov/),Dépôt,Gratuit
[MorphoSource](https://www.morphosource.org/),Dépôt,Gratuit
